,Title,Description,Published_date,views,likes,comments,ids
10,Natural vs Lab Grown Diamonds #financewithsharan #shorts,"Natural diamonds vs lab grown diamonds 💎 

Would you buy the lab grown ones? What are your thoughts about it. Comment down below 👇🏻 

[]

#financewithsharan 
The full video is on my YouTube channel. Click the link in bio.",2024-06-10,4538136,148161,1289,Dqf-7-UUHDU
11,IIT & IIM Controversy #financewithsharan #shorts,"Controversial topic - IIM and IIT are missing this one thing that Stanford / Harvard offers. 

We have Bhavik Rathod and Anshuman Singh talk about their initiative - @scalerschool_of_business 

The full video is out on my YouTube channel. 

[]

#financewithsharan",2024-06-08,1265068,46030,261,Axuo8xqlWlk
12,Tips For Real Estate Investment #financewithsharan #shorts,"Meet Pavan Anand, an architect and acclaimed jewellery designer with a presence in 25 cities across the world. 

He has created bespoke pieces for royal families and counts Hollywood A-listers like Goldie Hawn, Nicole Kidman, Megan Fox, and Kate Hudson among his clientele.

In 2020, Pavan built Glass House 91 in Alibag, a luxury home that has introduced a new architectural narrative to the city.

In this episode, we covered :

🏡 Tour of the unique glass house
💸 Plot value - then vs. now
💍 Jewellery - investment vs. emotional
💎 Natural vs. lab-grown diamonds
📊 Pavan’s personal finance details

🌟 This video is a must watch. The full video is on my YouTube channel. 

[]

#financewithsharan",2024-06-07,3880136,113688,903,kEQE-VfnVZE
13,Working In USA 🇺🇸 vs India 🇮🇳 #financewithsharan #shorts,"Choosing between working in USA 🇺🇸 & India 🇮🇳 

The full episode is on my YouTube channel - the link is in my bio !

[Finance with Sharan, jobs, salary, USA, working abroad, higher education, mba, scaler] 

#financewithsharan",2024-06-06,161769,5994,38,qxCfrFnQUXo
14,Home Owner #financewithsharan #shorts,"Owning a home without loan? 🏡

Share your thoughts in the comment section below 👇🏻 

PS : This video is for educational purpose, and shouldn’t be considered as an investment advice. Please do your own research. 

[Finance with Sharan, onepercentclub show, Parul Gulati, buying a home, rent, real estate]

#financewithsharan",2024-06-05,8789814,307645,1525,_lNwBY-rZjc
15,Asking Mumbai's Multi-Millionaire For A House Tour,"Register for my Retire Early Masterclass: https://bit.ly/3xb9O3L


Subscribe to The 1% Club YouTube channel:
https://www.youtube.com/@getonepercent


Join The 1% Club: https://bit.ly/3V6rYf5


--

Subscribe:

The 1% Club:
YouTube : https://www.youtube.com/@getonepercent
Instagram: https://www.instagram.com/onepercentclub/
Linkedin: https://www.linkedin.com/school/the-1-clubfws/mycompany/


Sharan Hegde:
Instagram: https://www.instagram.com/financewithsharan
LinkedIn: https://www.linkedin.com/in/sharanhegde
Twitter: https://twitter.com/financewsharan


Pavan Anand:
Instagram: https://www.instagram.com/pavan__anand?igsh=OGthZjA0M3dlcWlt


--

Listen to us on Spotify:
https://podcasters.spotify.com/pod/show/sharan-hegde6/

--

Meet Pavan Anand, an architect and acclaimed jewellery designer with a presence in 25 cities across the world. He has created bespoke pieces for royal families and counts Hollywood A-listers like Goldie Hawn, Nicole Kidman, Megan Fox, and Kate Hudson among his clientele.

In 2020, Pavan launched Glass House 91 in Alibag, a luxury home that has introduced a new architectural narrative to the city.

In today's episode, we uncover a multitude of fascinating topics:

🏡 Tour of the unique glass house
💸 Plot value - then vs. now
💍 Jewellery - investment vs. emotional
💎 Natural vs. lab-grown diamonds
📊 Pavan's personal finance details

🌟 This video is packed with priceless insights. Dive in now and share your thoughts in the comments below. Let's spark a conversation that breaks barriers! 💬👇🏻

Disclaimer: This video is for educational purposes only. 📚

--

Timeline:
[0:00] Highlights
[0:25] Introduction
[0:55] Glass Home Tour
[4:53] Conceptualization of the Unique House
[6:27] Number of Houses Pavan Owns
[6:50] Plot Value: Then vs Now
[7:23] Real Estate Investment Tips
[8:03] Pavan's Astonishing Business Journey
[9:28] Impressive Business Revenue Growth
[10:19] Pavan's Hollywood/HNI Clients
[11:11] Defining True Wealth
[13:00] Skillset Behind Pavan's Success
[13:58] Jewellery: Investment or Emotional?
[16:56] Natural vs. Lab-Grown Diamonds
[18:08] Pavan's Personal Finance Details
[18:55] Advice to 25-Year-Old Pavan for Success

--

Sharan Hegde is a personal finance expert who has been featured in Forbes, Economic Times, Mint, Times of India and many more. He is the Founder of The 1% Club, India's biggest finance community which helps people achieve financial independence. 




#financewithsharan #finance #sharanhegde",2024-06-03,705242,13859,664,msILzrCHYOE
16,Working In USA vs India #financewithsharan #shorts,,2024-06-03,678989,18191,130,FXb8kT6kMR4
17,Getting Job As Teacher In America #financewithsharan #shorts,,2024-06-01,99436,4574,31,3u9RPNbmuVU
18,US Visa Scams #financewithsharan #shorts,"USA visa scams reality ❌🇺🇸

[]

#financewithsharan",2024-05-31,99287,3245,22,ZNhOrs1HQ9w
19,Passive Income #financewithsharan #shorts,,2024-05-29,1439986,44904,244,dFoJmz0PXCQ
20,Earned ₹10 + Crores From A Salaried Job,"Register for my Retire Early Masterclass: https://bit.ly/4e7vVce


Check out Scaler School of Business- https://bit.ly/3R0ufar


Subscribe to The 1% Club YouTube channel:
https://www.youtube.com/@getonepercent


Join The 1% Club: https://bit.ly/3WXkHkh

--

Subscribe:

The 1% Club:
YouTube : https://www.youtube.com/@getonepercent
Instagram: https://www.instagram.com/onepercentclub/
Linkedin: https://www.linkedin.com/school/the-1-clubfws/mycompany/


Sharan Hegde:
Instagram: https://www.instagram.com/financewithsharan
LinkedIn: https://www.linkedin.com/in/sharanhegde
Twitter: https://twitter.com/financewsharan 

--

Listen to us on Spotify:
https://podcasters.spotify.com/pod/show/sharan-hegde6/

--

Join us as we explore the inspiring journeys of Anshuman Singh, Co-Founder of Scaler and Bhavik
Rathod, Founding Leader of Uber India.

After achieving financial independence through their impressive stints at Facebook and Uber, these
industry trailblazers are now on a mission to empower the next generation of business leaders to achieve financial success. Discover how their experiences have shaped their vision and learn how studying at the Scaler School of Business can help you bridge the gap between academia and industry.

This episode is all about what career paths you should take to become rich.

We uncover a multitude of fascinating topics:

💼 What are ESOPs & how can they make you rich?
✈️ Going abroad vs. staying in India
🏫 What's wrong with IITs and IIMs?
🎓 The MBA program at Scaler
💸 Insane salary growth at Scaler

Curious to learn more? Check out the Scaler School of Business and see how they're revolutionizing MBA education in India!

This video is packed with priceless insights. Dive in now and share your thoughts in the comments below. Let's spark a conversation that breaks barriers! 💬👇🏻

Disclaimer: This video is for educational purposes only. 📚


------------------------------------------------------

Timeline :
 
[0:00] - Highlights
[1:10] - Financial Independence from ESOPs
[2:38] - ESOPs Explained: Path to Wealth
[4:50] - Bhavik's Journey to Uber & Salary
[6:38] - Going Abroad vs. Staying in India
[7:33] - Major Issues in Indian Education System
[9:10] - Critique of IITs and IIMs
[13:06] - Urgent Needs in Indian Education
[14:50] - Programs with Job Guarantees
[16:05] - MBA Program at Scaler
[21:26] - Remarkable Salary Growth at Scaler


-------------------------------------------------------------


Sharan Hegde is a personal finance expert who has been featured in Forbes, Economic Times, Mint, Times of India and many more. He is the Founder of The 1% Club, India's biggest finance community which helps people achieve financial independence. 




#financewithsharan #finance #sharanhegde",2024-05-27,173639,3525,160,g66eNnZyj6k
21,Reality Of US Student Visa #financewithsharan #shorts,,2024-05-23,246025,7890,91,Mh-lVn45W9I
22,Investing In US Stocks #financewithsharan #shorts,,2024-05-22,351572,12458,146,9kaHv0V-o1U
23,₹1.9 LAKHS PASSIVE INCOME?,"Register for my Retire Early Masterclass: https://bit.ly/4dLxo7K

Subscribe to The 1% Club YouTube channel:
https://youtube.com/@onepercentclub12?si=JIoGypTjYexP_feR

Join The 1% Club: https://bit.ly/3WNwAZX


--

Subscribe:

The 1% Club:
YouTube : https://youtube.com/@onepercentclub12?si=JIoGypTjYexP_feR
Instagram: https://www.instagram.com/onepercentclub/
Linkedin: https://www.linkedin.com/school/the-1-clubfws/mycompany/


Sharan Hegde:
Instagram: https://www.instagram.com/financewithsharan
LinkedIn: https://www.linkedin.com/in/sharanhegde95
Twitter: https://twitter.com/financewsharan


Kirtan Shah:
Instagram: https://www.instagram.com/kirtanshahcfp/?hl=en
LinkedIn: https://www.linkedin.com/in/kirtanshahcfp/

--

Listen to us on Spotify:
https://podcasters.spotify.com/pod/show/sharan-hegde6/

--

Welcome to the second episode of The 1% Unfiltered - where we answer unfiltered finance questions of your life. 

In today’s episode we have Mr. Kirtan Shah - renowned financial planner, with more than 14 years of experience. He runs Credence Family Office, where the company manages more than Rs.8,000 Crores of AUM of HNIs and millionaires of this country.1:08


Watch the full video and let me know your thoughts in the comment section below.

--

Timestamp:
[0:00] : Highlight
[0:33] : Introduction
[1:08] : 1.9 Lakhs Passive Income By Selling House
[6:12] : How To Diversify & Grow 1.6 Lakhs / M Corpus?
[11:44] : How To Create 30,000 Passive Income With 20 Lakhs Investment?


--


Sharan Hegde is a personal finance expert who has been featured in Forbes, Economic Times, Mint, Times of India and many more. He is the Founder of The 1% Club, India's biggest finance community which helps people achieve financial independence. 




#financewithsharan #finance #sharanhegde",2024-05-20,280985,4403,574,Bvl4jG-c3fQ
24,"She Won ₹50,000 For A Website #financewithsharan #shorts","I just gave 50k to my team member for a website she made in 2 hours 💰 

I am still surprised how she made a website in 2 hours !!

Want to know the secret? 🤫 

Then, don’t forget to checkout @odoo.official which can help you build a website and a lot more...

➡️ And The link is in my bio 

If you had to build a website what would that be?",2024-05-16,272334,11329,65,SBduB4-yk18
25,Easy Way To Get USA Green Card? #financewithsharan #shorts,"Easy way to get USA 🇺🇸 Green Card? 

Watch the full episode on our YouTube channel !!

#onepercentclubshow",2024-05-14,102144,3505,36,5U2CLQhyCi0
26,Getting USA Visa #financewithsharan #shorts,"Did you know you can invest your way into a US Green Card?

Getting a US Green Card is a dream for a lot of people.

Here’s an interesting take on how you can get your hands on the green card.

Full video is out on my YouTube channel. Link in bio :)


#financewithsharan",2024-05-13,1742182,39670,331,3kCerhAq0sw
27,Dark Reality Of Going To US To Make More Money,"Register for my Retire Early Masterclass: https://bit.ly/3yes64m

Join The 1% Club: https://bit.ly/3QGfDN8

---

Join me for an eye-opening discussion with Mr. Deepesh Deshmukh, founder of DD Global Consulting, a leading Immigration services company in India. The sole purpose is to help people achieve their migration goal with ease.

In today's episode, we uncover a multitude of fascinating topics:

💼 Steps to achieve the USA Green Card
⚖️ Legal hacks for Indians
🌍 Best countries to migrate for Indians
🎓 Education loan issues
💉 Health Insurance abroad
Entrepreneurs and eager learners, get ready for a wild ride! 🌟 This video is packed with priceless insights. Dive in now and share your thoughts in the comments below. Let's spark a conversation that breaks barriers! 💬👇🏻

Disclaimer: This video is for educational purposes only. 📚


Timeline:
[0:00] Highlights
[1:09] Net Worth: USA vs India
[1:45] Steps to Obtain EB5 USA Green Card
[3:09] Limitations of Student Visas
[5:19] Hacks for Obtaining Green Cards
[6:55] Legal Hacks for Indians
[11:22] Ideal Countries for Indian Migration
[15:30] Challenges in Repaying Education Loans
[17:05] Importance of Health Insurance
[18:55] Key Takeaways


Subscribe:

The 1% Club:
YouTube : https://youtube.com/@onepercentclub12?si=JIoGypTjYexP_feR
Instagram: https://www.instagram.com/onepercentclub/
Linkedin: https://www.linkedin.com/school/the-1-clubfws/mycompany/


Sharan Hegde:
Instagram: https://www.instagram.com/financewithsharan
LinkedIn: https://www.linkedin.com/in/sharanhegde95
Twitter: https://twitter.com/financewsharan


Deepesh Deshmukh:
LinkedIn: https://www.linkedin.com/in/deepeshdeshmukh/


#financewithsharan #finance #sharan",2024-05-11,1375427,22280,2075,0NrO29CvhE0
28,How To Pick Real Estate Investments #financewithsharan #shorts,"Methodology on how to pick good real estate? 🏡 

Asked this question to NoBroker cofounders Akhil Gupta & Saurabh Garg.

What are your thoughts? Share in the comment section below ⬇️ 


#financewithsharan",2024-05-10,211311,7820,34,6vFWD8HVIIE
29,Failed Company CTO #financewithsharan #shorts,,2024-05-09,96814,3109,10,uTomSSIIlE4
30,Finance Quiz With My Team #financewithsharan #shorts,"How well does my team know about finances? 💰

Let’s see who wins this quiz? And who wins a unique prize from @indiapoco !!

➡️ Their most affordable and powerful POCO M6 Pro 5G available at Rs. 8999* on Flipkart’s Big Saving Days sale starting today! 

How many answers did you guys get right ? 



#financewithsharan",2024-05-08,86426,3391,29,b7IvbhVSqgU
31,I Spent ₹5 Lakhs For This #financewithsharan #shorts,"I got a chance to learn how to increase my odds of living upto a 100, and the best part is: it took me just a week!

If you ever meet me, you might think I’m in great shape, in a good mood, and not at all stressed. But you couldn’t be further from the truth.

In reality, ever since The 1% Club started growing like crazy, I:

- haven’t been sleeping properly
- don’t always follow my diet
- feel overwhelmed often
- worry about the future

So, I figured I needed more than just a break but a chance to recalibrate my health.

That’s why I spent a whole week in Chennai at India’s most unique health center,AIWO . Here’s what I discovered as I worked on my longevity:

🏃‍♂️ Fitness Score:
💆‍♂️ Skincare Upgrade:
🧘‍♂️ Posture Check:
💉 Blood Work:
🛌 💤 Sleep Stats:

This experience made me realize that my first priority should be my health. Because if you’re not going to live to see your dreams come true, then what’s the f—ing point?!

P.S: Makes me wonder, how much would you spend to live for 100 years?

[]

#financewithsharan",2024-05-07,2030829,83363,656,FPiRIunqU90
32,Where To Invest ₹1 Crore In Real Estate? #financewithsharan #shorts,"Tell me your answer in the comment section below !

₹1 Crore - to invest in real estate. Where would you invest?

[

#financewithsharan",2024-05-06,624997,20793,194,LfS8pcSSDJ8
33,Why I Spent 5 Lakhs For This?,"Register for my Retire Early Masterclass: https://bit.ly/4b3TuAB


Join The 1% Club: https://bit.ly/4ds2GAA


—-

Subscribe:

The 1% Club:
Instagram: https://youtube.com/@onepercentclub12?si=JIoGypTjYexP_feR
Linkedin: https://www.linkedin.com/school/the-1-clubfws/mycompany/


Sharan Hegde:
Instagram: https://www.instagram.com/financewithsharan
LinkedIn: https://www.linkedin.com/in/sharanhegde95
Twitter: https://twitter.com/financewsharan

Listen to us on Spotify:
https://podcasters.spotify.com/pod/show/sharan-hegde6/

--


I got a chance to learn how to increase my odds of living upto a 100, and the best part is: it took me just a week!

Don't believe me? Let me share my unexpected experience with you all.

If you ever meet me, you might think I'm in great shape, in a good mood, and not at all stressed. But you couldn't be further from the truth.

In reality, ever since The 1% Club started growing like crazy, I:

- haven't been sleeping properly
- don't always follow my diet
- feel overwhelmed often
- worry about the future

It has taken a toll on my overall health, body, and mood, which gets in the way of progress. As a founder, I can't let my team down.

So, I figured I needed more than just a break but a chance to recalibrate my health.

That's why I spent a whole week in Chennai at India's most unique health center,AIWO . Here's what I discovered as I worked on my longevity:

🏃‍♂️ Fitness Score:

First, they tested how much oxygen my muscles use during an intense exercise session. Mine turned out to be average around 42. Athletes usually have 50+. I reach my zone 4 heartbeat levels pretty quickly, which indicates a weak heart. I need to also do cardio. Just going to the gym isn’t enough. I should not run a lot. It will lead to muscle loss. For fat loss, I need to jog.

💆‍♂️ Skincare Upgrade:

I found out AI is now even providing people with a unique 90-minute facial! It included some muscle stimulation (I think it's the first of its kind in India).

🧘‍♂️ Posture Check:

As most of you know, I’ve been having severe neck pain for almost 6 months now. Turns out my posture is horrible. A 5.5kg head weighs 11kg for me because of my bad neck and shoulder posture. I learned how to fix that.

💉 Blood Work:

I got a super detailed blood test that checked 180+ things! This helped me realize some areas for improvement like cholesterol (140+), high cortisol (3x higher than the max level, indicating high stress levels), and very low levels of essential vitamins.

I learned that just being within the recommended range level is not called healthy. Most blood tests suggest ranges so that you don’t fall sick and not for operating at your peak level.

🛌 💤 Sleep Stats:

Last but not least! Their sleep test revealed I wasn't getting the quality rest I needed.

This experience made me realize that my first priority should be my health. Because if you're not going to live to see your dreams come true, then what's the f--ing point?!

P.S: Makes me wonder, how much would you spend to live for 100 years?


#financewithsharan #finance #sharanhegde",2024-05-04,112965,4044,237,KPlCSRltwwg
34,Power Of Personal Branding #financewithsharan,"This is the real power of personal brand. 

What are your thoughts? Comment down below 👇🏻 



[Finance With Sharan, personal brand, Aman Gupta, The 1% Club, boat, business, entrepreneur]

#financewithsharan",2024-05-03,2146462,87706,281,L37H2vH90yA
35,Mutual Funds - How To Pick The Correct One #financewithsharan #shorts,"What mutual funds do you invest in?

Radhika Gupta on how to choose mutual funds !!

[]

#financewithsharan",2024-05-02,311459,11042,36,QJyzMwON51E
36,NoBroker Founders Attacked By Locals #financewithsharan #shorts,"The story behind the attack on the founders 😓

Join me for an in-depth conversation with 2 out of 3 co-founders - Mr. Saurabh Garg & Mr. Akhil Gupta, of India’s beloved company NoBroker, as we unravel their extraordinary journey towards building this prop-tech unicorn company.

In today’s episode, we delved into a plethora of intriguing topics:

💰 Where to put 1 Crore in Real Estate?
🎓 The unconventional way of landing a software job in college
💼 Business model, how do they make money
💔 The heartbreaking story of attacks by local brokers
🏡 Rent vs Buy Controversy - A debate
🤖 AI in Real Estate

The FULL video is on my YouTube channel. 

THE LINK IS IN MY BIO!

[]

#financewithsharan",2024-05-01,169410,4188,37,1eE08T4uSCE
37,"Don’t RENT A House, BUY IT","Register for my Retire Early Masterclass: https://bit.ly/3Whhcop

Subscribe to The 1% Club YouTube channel:

https://youtube.com/@onepercentclub12?si=JIoGypTjYexP_feR

Join The 1% Club: https://bit.ly/4aO9rLl

--

Subscribe:

The 1% Club:
YouTube : https://youtube.com/@onepercentclub12?si=JIoGypTjYexP_feR
Instagram: https://www.instagram.com/onepercentclub/
Linkedin: https://www.linkedin.com/school/the-1-clubfws/mycompany/


Sharan Hegde:
Instagram: https://www.instagram.com/financewithsharan
LinkedIn: https://www.linkedin.com/in/sharanhegde95
Twitter: https://twitter.com/financewsharan


Saurabh Garg:
LinkedIn: https://www.linkedin.com/in/saurabh-garg-8876171/?originalSubdomain=in

Akhil Gupta:
LinkedIn: https://www.linkedin.com/in/akhil10s/?originalSubdomain=in


--

Listen to us on Spotify:
https://podcasters.spotify.com/pod/show/sharan-hegde6/

--

Join me for an in-depth conversation with 2 out of 3 co-founders, Akhil Gupta & Saurabh Garg - of India's beloved company NoBroker, as we unravel their extraordinary journey towards building this prop-tech unicorn company.

In today's episode, we delved into a plethora of intriguing topics:

💰 Where to put 1 Crore in Real Estate?
🎓 The unconventional way of landing a software job in college
💼 Business model, how do they make money
💔 The heartbreaking story of attacks by local brokers
🏡 Rent vs Buy Controversy - A debate
🤖 AI in Real Estate

Get ready for an enlightening discussion! 🚀

Watch the full episode and share your thoughts in the comments below. Don't miss out on this opportunity to gain valuable insights! Join the conversation now! 🗣️👇🏻

Disclaimer: This video is for educational purposes only.

------------------------------------------------------

Timeline:

[0:00] - Highlight
[0:46] - Introduction
[1:08] - Real Estate Investment: Where to Put 1 Crore?
[2:43] - Dubai Real Estate Insights
[4:05] - Akhil's Unconventional Job Hunt in College
[5:45] - Early Challenges of NoBroker
[7:30] - Domain Name Acquisition Story
[8:53] - Brokerage Reality in India
[9:25] - NoBroker's Unique Concept & Investor Challenges
[14:00] - Journey of Funding
[15:25] - Business Model and Revenue Generation
[16:45] - Battling Attacks from Local Brokers
[19:24] - Family Dynamics and Reactions
[21:10] - Rent vs Buy Debate
[25:45] - Ideal Locations for Home Purchase in India
[26:15] - Trends in Buying, Renting, and Luxury Homes
[28:23] - Role of AI in Real Estate
[29:21] - Co-Founder Conflicts



-------------------------------------------------------------


Sharan Hegde is a personal finance expert who has been featured in Forbes, Economic Times, Mint, Times of India and many more. He is the Founder of The 1% Club, India's biggest finance community which helps people achieve financial independence. 




#financewithsharan #finance #sharanhegde",2024-04-29,278120,4248,272,lBE0ARlYzxo
38,Jewellery & Home Buying Is Emotional Investment #financewithsharan #shorts,"Emotional vs financial decision ⚖️

YOU’RE DOING MONEY ALL WRONG, and 

@iamradhikagupta is here to tell you why!

She shared some deep secrets 👀 
- From 6K to 1.3L crores: No she didn’t have any Aladdin ka chiraag 
- The face-off: Stocks vs. Mutual Funds. Who wins? 
- Buying a house: Yes, no, maybe? Radhika has the answer! 
- Sneak peek into Radhika’s investment portfolio (Spoiler: It’s not just stocks!) 
- Plus, life advice that doesn’t suck! 

Curious? You should be! 

Check out the FULL VIDEO on my YouTube channel. 



[]

#financewithsharan",2024-04-27,85051,3191,39,jW01un4ecac
39,How I Became #financewithsharan,"The real story of how Finance With Sharan began..!

Watch the full episode on The NextLevel Podcast’s YouTube Channel 🔥

[]

#financewithsharan",2024-04-26,6495221,271562,1218,w0oOsRrEA24
40,How Much Do You Need To Retire At 40? #financewithsharan #shorts,"The last from the 1st episode of The 1% Unfiltered is LIVE - where we answer unfiltered finance questions of your life. 

We had Mr @uncoverwithabhishek of OneInsurance - with 21 years of experience in insurance industry and a personal finance expert as well. 

We discussed questions :

😅What is the right amount needed for retirement?
🚬What happens to Term Insurance if I start smoking?
💰How much money will I need if I want to retire by 40?

Watch the full video and let me know your thoughts in the comment section below ⬇️ 

[]

#financewithsharan",2024-04-24,3441990,123662,518,Jk5ThWdybis
